position_id	term_ids	major	path	current_line	before	after	semantic_unit_id	change_kind
RB27-H04848	27	14	zh/14/amcheck.sgml	15	B-tree	B-树	F03-U0001	HISTORICAL_ROLLBACK
RB27-H04849	27	14	zh/14/amcheck.sgml	17	B-tree	B-树	F03-U0001	HISTORICAL_ROLLBACK
RB27-H04850	27	14	zh/14/amcheck.sgml	18	B-tree	B-树	F03-U0001	HISTORICAL_ROLLBACK
RB27-H04851	27	14	zh/14/amcheck.sgml	26	B-tree	B-树	F03-U0002	HISTORICAL_ROLLBACK
RB27-H04852	27	14	zh/14/amcheck.sgml	26	B-tree	B-树	F03-U0002	HISTORICAL_ROLLBACK
RB27-H04853	27	14	zh/14/amcheck.sgml	30	B-tree	B-树	F03-U0003	HISTORICAL_ROLLBACK
RB27-H04854	27	14	zh/14/amcheck.sgml	57	B-tree	B-树	F03-U0004	HISTORICAL_ROLLBACK
RB27-H04855	27	14	zh/14/amcheck.sgml	116	B-tree	B-树	F03-U0005	HISTORICAL_ROLLBACK
RB27-H04856	27	14	zh/14/amcheck.sgml	141	B-tree	B-树	F03-U0006	HISTORICAL_ROLLBACK
RB27-H04857	27	14	zh/14/amcheck.sgml	142	B-tree	B-树	F03-U0006	HISTORICAL_ROLLBACK
RB27-H04858	27	14	zh/14/amcheck.sgml	304	B-tree	B-树	F03-U0007	HISTORICAL_ROLLBACK
RB27-H04859	27	14	zh/14/amcheck.sgml	344	B-tree	B-树	F03-U0008	HISTORICAL_ROLLBACK
RB27-H04860	27	14	zh/14/arch-dev.sgml	201	B-tree	B-树	F03-U0009	HISTORICAL_ROLLBACK
RB27-H04861	27	14	zh/14/arch-dev.sgml	201	B-tree	B-树	F03-U0009	HISTORICAL_ROLLBACK
RB27-H04862	27	14	zh/14/arch-dev.sgml	201	B-tree	B-树	F03-U0009	HISTORICAL_ROLLBACK
RB27-H04863	27	14	zh/14/bloom.sgml	23	B-tree	B-树	F03-U0010	HISTORICAL_ROLLBACK
RB27-H04864	27	14	zh/14/bloom.sgml	23	B-tree	B-树	F03-U0010	HISTORICAL_ROLLBACK
RB27-H04865	27	14	zh/14/bloom.sgml	23	B-tree	B-树	F03-U0010	HISTORICAL_ROLLBACK
RB27-H04866	27	14	zh/14/bloom.sgml	72	B-tree	B-树	F03-U0011	HISTORICAL_ROLLBACK
RB27-H04867	27	14	zh/14/bloom.sgml	72	B-tree	B-树	F03-U0011	HISTORICAL_ROLLBACK
RB27-H04868	27	14	zh/14/bloom.sgml	106	B-tree	B-树	F03-U0012	HISTORICAL_ROLLBACK
RB27-H04869	27	14	zh/14/bloom.sgml	129	B-tree	B-树	F03-U0013	HISTORICAL_ROLLBACK
RB27-H04870	27	14	zh/14/bloom.sgml	157	B-tree	B-树	F03-U0014	HISTORICAL_ROLLBACK
RB27-H04871	27	14	zh/14/bloom.sgml	157	B-tree	B-树	F03-U0014	HISTORICAL_ROLLBACK
RB27-H04872	27	14	zh/14/bloom.sgml	157	B-tree	B-树	F03-U0014	HISTORICAL_ROLLBACK
RB27-H04873	27	14	zh/14/bloom.sgml	191	B-tree	B-树	F03-U0014	HISTORICAL_ROLLBACK
RB27-H04874	27	14	zh/14/btree-gin.sgml	11	B-tree	B-树	F03-U0015	HISTORICAL_ROLLBACK
RB27-H04875	27	14	zh/14/btree-gin.sgml	24	B-tree	B-树	F03-U0016	HISTORICAL_ROLLBACK
